num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
36,0.4437890195318599,-0.014405173,4,"(1, 2)",13,8,6
46,0.42798299971222814,-0.022196932,4,"(1, 2)",13,12,2
37,0.43648205505647775,-0.01835403,4,"(1, 2)",13,12,6
11,0.46693281199210884,-0.035339028,4,"(1, 2)",13,16,2
37,0.4468302421086217,-0.021290256,4,"(1, 2)",13,16,6
3,0.47702331128933,0.0002194912,4,"(1, 2)",15,4,2
36,0.3923697885409618,-0.03172968,4,"(1, 2)",15,4,6
35,0.4255489361772709,-0.028171988,4,"(1, 2)",15,8,2
31,0.4047955893816755,-0.016757509,4,"(1, 2)",15,8,6
3,0.38164042516485625,0.0020352595,4,"(1, 2)",15,12,2
30,0.4198958866226356,-0.020046182,4,"(1, 2)",15,12,6
10,0.4939516323643998,-0.030548817,4,"(1, 2)",15,16,2
33,0.43044330820445087,-0.02597683,4,"(1, 2)",15,16,6
3,0.35595785531922824,-0.00097050733,4,"(1, 2)",18,4,2
21,0.39693994744991895,-0.022627378,4,"(1, 2)",18,4,6
30,0.4170563231977935,-0.02745456,4,"(1, 2)",18,8,2
25,0.4344614712689763,-0.0194604,4,"(1, 2)",18,8,6
3,0.4161450626529502,0.0028333226,4,"(1, 2)",18,12,2
25,0.4629205074917811,-0.019485373,4,"(1, 2)",18,12,6
30,0.4382007863788522,-0.02465861,4,"(1, 2)",18,16,2
29,0.4203234968439481,-0.020575535,4,"(1, 2)",18,16,6
3,0.3591039715717388,-0.004260279,4,"(1, 2)",20,4,2
22,0.4111744021662695,-0.021901965,4,"(1, 2)",20,4,6
4,0.38795997734500803,-0.0022271124,4,"(1, 2)",20,8,2
24,0.4226288984237683,-0.017834108,4,"(1, 2)",20,8,6
3,0.4137437986738284,0.0026965288,4,"(1, 2)",20,12,2
25,0.43353014429043313,-0.023458514,4,"(1, 2)",20,12,6
25,0.4453200204197055,-0.029158201,4,"(1, 2)",20,16,2
25,0.46035990188726544,-0.017826114,4,"(1, 2)",20,16,6
62,0.40909747152992304,-0.022345182,5,"(1, 1)",10,4,2
57,0.4029854933501978,-0.02616192,5,"(1, 1)",10,4,6
72,0.39337429251017636,-0.03408356,5,"(1, 1)",10,8,2
54,0.4135430360728834,-0.022877777,5,"(1, 1)",10,8,6
